2000.000000    -157.166831+21.420000i
1955.880000    -151.158289+20.220800i
1913.670000    -145.362716+19.123500i
1873.240000    -139.779951+18.108000i
1834.480000    -134.409846+17.097600i
1797.300000    -129.252269+16.205700i
1761.590000    -124.307151+15.420900i
1727.270000    -119.574495+14.787200i
1694.270000    -115.054346+14.016700i
1662.500000    -110.746758+13.221800i
1631.900000    -106.651794+12.565100i
1602.410000    -102.769592+12.013400i
1573.960000    -99.100408+11.457200i
1546.510000    -95.644626+10.906700i
1520.000000    -92.402801+10.434600i
1494.380000    -89.375840+9.975640i
1469.610000    -86.565314+9.526730i
1445.650000    -83.974055+9.089780i
1422.460000    -81.607076+8.701810i
1400.000000    -79.470810+8.329560i
1378.240000    -77.562057+7.967190i
1357.140000    -76.083897+7.651470i
1336.680000    -74.805759+7.336270i
1316.830000    -73.693384+7.025100i
1297.560000    -72.710984+6.746320i
1278.850000    -71.821153+6.485130i
1260.660000    -70.988042+6.333410i
1242.990000    -70.180851+6.496770i
1225.810000    -69.374222+6.342820i
1209.090000    -68.544055+6.122920i
1192.830000    -67.665640+5.903020i
1176.990000    -66.715395+5.683130i
1161.570000    -65.673613+5.463230i
1146.550000    -64.524876+5.243340i
1131.910000    -63.258553+5.023440i
1117.650000    -61.870934+4.846950i
1103.730000    -60.366848+4.692990i
1090.160000    -58.760460+4.539030i
1076.920000    -57.075282+4.385070i
1064.000000    -55.343148+4.231110i
1051.380000    -53.601827+4.077150i
1039.060000    -51.891211+3.923180i
1027.030000    -50.248362+3.789760i
1015.270000    -48.701375+3.676950i
1003.770000    -47.263455+3.564130i
992.537000    -45.929717+3.451310i
981.550000    -44.680201+3.338500i
970.803000    -43.492699+3.225680i
960.289000    -42.356984+3.112870i
950.000000    -41.268607+3.011960i
939.929000    -40.223363+2.932050i
930.070000    -39.216697+2.852140i
920.415000    -38.243833+2.772230i
910.959000    -37.299872+2.692320i
901.695000    -36.380049+2.612410i
892.617000    -35.480175+2.532500i
883.721000    -34.597189+2.456400i
875.000000    -33.729503+2.394420i
866.450000    -32.876933+2.332430i
858.065000    -32.040239+2.270450i
849.840000    -31.220358+2.208470i
841.772000    -30.417602+2.146480i
833.856000    -29.631234+2.084500i
826.087000    -28.859826+2.023520i
818.462000    -28.101863+1.976660i
810.976000    -27.355921+1.929800i
803.625000    -26.620693+1.882940i
796.407000    -25.895000+1.836080i
789.318000    -25.177788+1.789220i
782.353000    -24.468171+1.742360i
775.510000    -23.765564+1.695500i
768.786000    -23.069837+1.657640i
762.178000    -22.381295+1.620670i
755.682000    -21.700406+1.583710i
749.296000    -21.027132+1.546740i
743.017000    -20.360359+1.509770i
736.842000    -19.698015+1.472800i
730.769000    -19.037718+1.435840i
724.796000    -18.377647+1.404520i
718.919000    -17.717065+1.375030i
713.137000    -17.056517+1.345540i
707.447000    -16.397758+1.316050i
701.847000    -15.743496+1.286560i
696.335000    -15.097209+1.257080i
690.909000    -14.462997+1.227590i
685.567000    -13.845438+1.201530i
680.307000    -13.249389+1.177690i
675.127000    -12.679760+1.153860i
670.025000    -12.141312+1.130020i
665.000000    -11.638493+1.106190i
660.050000    -11.175183+1.082350i
655.172000    -10.754485+1.058520i
650.367000    -10.378677+1.053490i
645.631000    -10.049151+1.069990i
640.964000    -9.766290+1.086480i
636.364000    -9.529398+1.102970i
631.829000    -9.336795+1.119460i
627.358000    -9.185765+1.135960i
622.951000    -9.072455+1.152450i
618.605000    -8.991874+1.174560i
614.319000    -8.938006+1.209820i
610.092000    -8.904035+1.245080i
605.923000    -8.882686+1.280340i
601.810000    -8.866680+1.315600i
597.753000    -8.849194+1.350860i
593.750000    -8.824265+1.386120i
589.800000    -8.787094+1.423410i
585.903000    -8.734197+1.471940i
582.057000    -8.663379+1.520470i
578.261000    -8.573484+1.569000i
574.514000    -8.463902+1.617520i
570.815000    -8.334073+1.666050i
567.164000    -8.183299+1.714580i
563.559000    -8.011106+1.763000i
560.000000    -7.817753+1.802110i
556.485000    -7.604328+1.841220i
553.015000    -7.372631+1.880320i
549.587000    -7.124906+1.919430i
546.201000    -6.863543+1.958540i
542.857000    -6.590916+1.997640i
539.554000    -6.309392+2.036750i
536.290000    -6.021431+2.106610i
533.066000    -5.729599+2.181400i
529.880000    -5.436512+2.256190i
526.733000    -5.144741+2.330980i
523.622000    -4.856723+2.405770i
520.548000    -4.574736+2.480560i
517.510000    -4.300830+2.555350i
514.507000    -4.036703+2.655210i
511.538000    -3.783668+2.765890i
508.604000    -3.542702+2.876570i
505.703000    -3.314524+2.987250i
502.836000    -3.099703+3.097930i
500.000000    -2.898777+3.208610i
497.196000    -2.712247+3.319290i
494.424000    -2.540367+3.452590i
491.682000    -2.383088+3.605660i
488.971000    -2.240079+3.758730i
486.289000    -2.110765+3.911800i
483.636000    -1.994365+4.064870i
481.013000    -1.889989+4.217940i
478.417000    -1.796716+4.371010i
475.850000    -1.713638+4.507270i
473.310000    -1.639901+4.619400i
470.796000    -1.574717+4.731520i
468.310000    -1.517349+4.843650i
465.849000    -1.467047+4.955770i
463.415000    -1.423009+5.067890i
461.005000    -1.384392+5.180020i
458.621000    -1.350420+5.288100i
456.261000    -1.320469+5.383640i
453.925000    -1.294066+5.479190i
451.613000    -1.270863+5.574740i
449.324000    -1.250572+5.670290i
447.059000    -1.232900+5.765830i
444.816000    -1.217512+5.861380i
442.596000    -1.204110+5.952200i
440.397000    -1.192512+5.996590i
438.221000    -1.182649+6.040970i
436.066000    -1.174516+6.085360i
433.931000    -1.168099+6.129750i
431.818000    -1.163299+6.174140i
